Report Period,Institution ID,Institution Name,Percent Medical Exemptions,Percent Religious Exemptions,Percent Immunized Measles,Percent Immunized Mumps,Percent Immunized Rubella,Percent Completely Immunized,Street Address,City,State,Zip Code,Location 
2014-2015,72321231,CUNY BRONX COMMUNITY COLLEGE,0.06,0,86.4,86.4,86.4,86.4,UNIVERSITY AVE & WEST 181 STREET,BRONX,NY,10453,"UNIVERSITY AVE & WEST 181 STREET
BRONX, NY 10453
(40.85306047900008, -73.91032009699995)"
2012-2013,73341259,ST PAUL'S SCHOOL OF NURSING (QUEENS),0.00,0,99.8,100,100,99.8,30-50 WHITESTONE EXPRESSWAY,FLUSHING,NY,11354,"30-50 WHITESTONE EXPRESSWAY
FLUSHING, NY 11354
(40.77036553700003, -73.83581653899995)"
2012-2013,61281281,NEW YORK COLLEGE OF HEALTH PROFESSIONS,0.00,0,95.9,96.7,96.7,95.9,6801 JERICHO TURNPIKE SUITE 300,SYOSSET,NY,11791,"6801 JERICHO TURNPIKE SUITE 300
SYOSSET, NY 11791
(40.80865681600005, -73.51687289799997)"
2013-2014,73311171,AMERICAN ACADEMY MCALLISTER INSTITUTE,0.00,0,100,100,100,100,619 W 54TH ST 6TH FLOOR,NEW YORK,NY,10019,"619 W 54TH ST 6TH FLOOR
NEW YORK, NY 10019
(40.76884684700008, -73.99391069799998)"
2014-2015,34261091,BRYANT & STRATTON COLLEGE - HENRIETTA,0.00,0,100,100,100,100,1225 JEFFERSON RD,ROCHESTER,NY,14623,"1225 JEFFERSON RD
ROCHESTER, NY 14623
(43.08710807500006, -77.59957175399995)"
2014-2015,73312199,JEWISH THEOLOGICAL SEMINARY OF AMERICA,0.00,0,99.2,99.2,99.2,99.2,3080 BROADWAY,NEW YORK,NY,10027,"3080 BROADWAY
NEW YORK, NY 10027
(40.811930801000074, -73.96085499599997)"
2014-2015,73342330,RABBINICAL SEMINARY OF AMERICA,0.00,0,94.8,94.8,94.8,94.8,76-01 147TH ST.,FLUSHING,NY,11367,"76-01 147TH ST.
FLUSHING, NY 11367
(40.72319877700005, -73.81765363099998)"
2012-2013,73313211,NEW YORK COLLEGE OF PODIATRIC MEDICINE,0.00,0,100,100,100,100,53 EAST 124TH ST,NEW YORK,NY,10035,"53 EAST 124TH ST
NEW YORK, NY 10035
(40.80496850900005, -73.94084439399995)"
2012-2013,23411057,ST ELIZABETH COLLEGE OF NURSING,0.00,0,100,100,100,100,2215 GENESEE ST,UTICA,NY,13501,"2215 GENESEE ST
UTICA, NY 13501
(43.08297727900003, -75.26842880899994)"
2014-2015,73312175,BORICUA COLLEGE,0.00,0,100,100,100,100,3755 BROADWAY,NEW YORK,NY,10032,"3755 BROADWAY
NEW YORK, NY 10032
(40.83334981400003, -73.94554687699997)"
2014-2015,73313171,GERSTNER SLOAN-KETTERING GRADUATE SCHOOL,0.00,0,100,100,100,100,1275 YORK AVE,NEW YORK,NY,10065,"1275 YORK AVE
NEW YORK, NY 10065
(40.76399939200007, -73.95587700199997)"
2015-2016,21512076,SUNY COLLEGE OF TECHNOLOGY AT CANTON,0.04,0.2,99.7,99.7,99.7,99.7,34 CORNELL DR,CANTON,NY,13617,"34 CORNELL DR
CANTON, NY 13617
(44.60224359500006, -75.18601279699999)"
2013-2014,21112046,SUNY COLLEGE AT CORTLAND,0.01,0.2,98.2,98.2,98.2,98.2,22 GRAHAM AVENUE,CORTLAND,NY,13045,"22 GRAHAM AVENUE
CORTLAND, NY 13045
(42.60077699500005, -76.18742222199995)"
2015-2016,23421069,ST JOSEPH'S HOSPITAL HEALTH CENTER ,0.00,0,100,100,100,100,206 PROSPECT AVE,SYRACUSE,NY,13203,"206 PROSPECT AVE
SYRACUSE, NY 13203
(43.055129822000026, -76.14876459399994)"
2012-2013,33262096,ROBERTS WESLEYAN COLLEGE,0.06,0.2,96,95.9,95.9,95.5,2301 WESTSIDE DR,ROCHESTER,NY,14624,"2301 WESTSIDE DR
ROCHESTER, NY 14624
(43.12683229100003, -77.80030140099996)"
2014-2015,73313193,GENERAL THEOLOGICAL SEMINARY,0.00,0,64.9,64.9,64.9,64.9,440 W 21ST STREET,NEW YORK,NY,10011,"440 W 21ST STREET
NEW YORK, NY 10011
(40.74572498900005, -74.00358113199997)"
2013-2014,13533033,MID-AMERICA BAPTIST THEOLOGICAL SEMINARY,0.00,0,100,100,100,100,2810 CURRY ROAD EXTENSION,SCHENECTADY,NY,12303,"2810 CURRY ROAD EXTENSION
SCHENECTADY, NY 12303
(42.75144448100008, -73.91806985899996)"
2012-2013,63282276,HOFSTRA UNIVERSITY,0.13,0.5,98.6,98.6,98.5,98.5,1000 FULTON AVE,HEMPSTEAD,NY,11550,"1000 FULTON AVE
HEMPSTEAD, NY 11550
(40.71620398500005, -73.59781359899995)"
2012-2013,73312200,"JUILLIARD SCHOOL, THE",0.12,0.6,99.3,99.3,99.3,99.3,70 LINCOLN CTR PLZ   22ND FL,NEW YORK,NY,10023,"70 LINCOLN CTR PLZ 22ND FL
NEW YORK, NY 10023
(40.77270196500007, -73.98258792599995)"
2014-2015,73311217,PHILLIPS BETH ISRAEL SCHOOL OF NURSING,0.00,0,100,100,100,100,776 AVENUE OF THE AMERICAS #4,NEW YORK,NY,10001,"776 AVENUE OF THE AMERICAS #4
NEW YORK, NY 10001
(40.744924954000055, -73.99129508999994)"
2015-2016,74311250,"GLOBE INSTITUE OF TECHNOLOGY, INC.",0.00,0,100,100,100,100,291 BROADWAY,NEW YORK,NY,10007,"291 BROADWAY
NEW YORK, NY 10007
(40.714851166000074, -74.00578515599994)"
2013-2014,44141336,ITT TECHNICAL INSTITUTE - GETSVILLE,0.00,0,85.7,85.7,85.7,85.7,2295 MILLERSPORT HWY,GETZVILLE,NY,14068,"2295 MILLERSPORT HWY
GETZVILLE, NY 14068
(43.01247128800003, -78.77014317599998)"
2015-2016,64581275,FIVE TOWNS COLLEGE,0.00,0.2,99.8,99.8,99.8,99.8,305 N SERVICE RD,DIX HILLS,NY,11746,"305 N SERVICE RD
DIX HILLS, NY 11746
(40.79082764700007, -73.36760882199997)"
2012-2013,53502139,NYACK COLLEGE,0.28,0.4,99.2,99.3,99.3,99.2,1 SOUTH BLVD,NYACK,NY,10960,"1 SOUTH BLVD
NYACK, NY 10960
(41.08631375600004, -73.92894851099999)"
2012-2013,72342262,CUNY QUEENS COLLEGE,0.02,0.1,99.9,99.9,99.9,99.9,65-30 KISSENA BLVD,FLUSHING,NY,11367,"65-30 KISSENA BLVD
FLUSHING, NY 11367
(40.73610559600007, -73.81478687099997)"
2013-2014,72341268,"CHRISTIE'S EDUCATION, INC",0.00,0,97.3,100,100,97.3,11 WEST 42ND ST   8TH FLOOR,NEW YORK,NY,10036,"11 WEST 42ND ST 8TH FLOOR
NEW YORK, NY 10036
(40.753986292000036, -73.98199894399994)"
2012-2013,73322234,COLLEGE OF MOUNT SAINT VINCENT,0.00,0,100,100,100,100,6301 RIVERDALE AVE,BRONX,NY,10471,"6301 RIVERDALE AVE
BRONX, NY 10471
(40.91261892800003, -73.90257481399993)"
2015-2016,73313306,NEW YORK GRADUATE SCHOOL OF PSYCHOANALYSIS,0.00,3.6,92.9,92.9,92.9,92.9,16 WEST TENTH ST,NEW YORK,NY,10011,"16 WEST TENTH ST
NEW YORK, NY 10011
(40.73383421400007, -73.99649118999997)"
2012-2013,23472073,HARTWICK COLLEGE,0.00,0.1,99.9,99.9,99.9,99.9,1 HARTWICK DRIVE,ONEONTA,NY,13820,"1 HARTWICK DRIVE
ONEONTA, NY 13820
(42.45744429500007, -75.07192979799999)"
2014-2015,53663159,NEW YORK MEDICAL COLLEGE,0.00,0,100,100,100,100,95 GRASSLANDS RD,VALHALLA,NY,10595,"95 GRASSLANDS RD
VALHALLA, NY 10595
(41.07175930900007, -73.79446407099994)"
2013-2014,73332334,KEHILATH YAKOV RABBINICAL SEMINARY,0.00,0,100,100,100,100,638 BEDFORD AVE,BROOKLYN,NY,10036,"638 BEDFORD AVE
BROOKLYN, NY 10036
(40.70215137900004, -73.95896186299996)"
2013-2014,73313195,HEBREW UNION COLLEGE,0.00,0,65.6,65.6,65.6,65.6,1 W 4TH ST,NEW YORK,NY,10012,"1 W 4TH ST
NEW YORK, NY 10012
(40.72848637800007, -73.99433910299996)"
2012-2013,64581275,FIVE TOWNS COLLEGE,0.00,0,100,100,100,100,305 N SERVICE RD,DIX HILLS,NY,11746,"305 N SERVICE RD
DIX HILLS, NY 11746
(40.79082764700007, -73.36760882199997)"
2012-2013,41061115,JAMESTOWN COMMUNITY COLLEGE,0.10,0.1,99.8,99.8,99.8,99.8,525 FALCONER ST,JAMESTOWN,NY,14701,"525 FALCONER ST
JAMESTOWN, NY 14701
(42.11300210700006, -79.21814053799994)"
2012-2013,53662143,COLLEGE OF NEW ROCHELLE - NYC CAMPUSES,0.43,0.1,99.3,99.4,99.4,99.3,29 CASTLE PL,NEW ROCHELLE,NY,10805,"29 CASTLE PL
NEW ROCHELLE, NY 10805
(40.90081165000004, -73.78110036199996)"
2012-2013,73332350,YESHIVA GEDOLAH IMREI YOSEF D'SPINKA,0.00,4.8,95.2,95.2,95.2,95.2,1466 56TH ST.,BROOKLYN,NY,11219,"1466 56TH ST.
BROOKLYN, NY 11219
(40.62876601100004, -73.99238501499997)"
2015-2016,73312213,NEW YORK SCHOOL OF INTERIOR DESIGN,0.20,0,88.3,88.3,88.3,88.3,170 E 70TH ST,NEW YORK,NY,10021,"170 E 70TH ST
NEW YORK, NY 10021
(40.76873701100004, -73.96233874699993)"
2012-2013,73342333,YESHIVA ZICHRON ARYEH,0.00,0,95.1,95.1,95.1,95.1,1213 BAY 25TH STREET,CEDARHURST,NY,11516,"1213 BAY 25TH STREET
CEDARHURST, NY 11516
(40.624362363000046, -73.72695064699997)"
2012-2013,72341264,CUNY FIORELLO H. LAGUARDIA COMMUNITY COLLEGE,0.06,0.1,99.7,99.8,99.8,99.7,3110 THOMSOM AVE,LONG ISLAND CITY,NY,11101,"3110 THOMSOM AVE
LONG ISLAND CITY, NY 11101
(40.74488347300007, -73.93497315499997)"
2013-2014,73312208,NEW SCHOOL UNIVERSITY,0.24,0.6,96.1,96.1,96.2,96.1,79 5TH AVE,NEW YORK,NY,10003,"79 5TH AVE
NEW YORK, NY 10003
(40.73712101900003, -73.99276497899996)"
2012-2013,11111111,WORD OF LIFE BIBLE INSTITUTE,0.72,2.2,96.9,97.1,97.1,96.9,4200 GLENDALL RD,POTTERSVILLE,NY,12860,"4200 GLENDALL RD
POTTERSVILLE, NY 12860
(43.72869050400004, -73.81263085299997)"
2014-2015,74311225,TECHNICAL CAREER INSTITUTES,0.13,0.1,99.8,99.8,99.8,99.8,320 W 31ST ST,NEW YORK,NY,10001,"320 W 31ST ST
NEW YORK, NY 10001
(40.75071463900008, -73.99593173399995)"
2012-2013,73313184,WEILL CORNELL MEDICAL COLLEGE,0.00,0,99.5,99.9,99.9,99.5,"418 EAST 71ST ST, SUITE 21",NEW YORK,NY,10021,"418 EAST 71ST ST, SUITE 21
NEW YORK, NY 10021
(40.76663466400004, -73.95540146399998)"
2012-2013,41142129,SUNY BUFFALO,0.07,0.1,99.8,99.8,99.8,99.8,3435 MAIN ST,BUFFALO,NY,14214,"3435 MAIN ST
BUFFALO, NY 14214
(42.956001607000076, -78.82047802499994)"
2013-2014,73313171,GERSTNER SLOAN-KETTERING GRADUATE SCHOOL,0.00,0,100,100,100,100,1275 YORK AVE,NEW YORK,NY,10065,"1275 YORK AVE
NEW YORK, NY 10065
(40.76399939200007, -73.95587700199997)"
2012-2013,74311229,WOOD/TOBE-COBURN SCHOOL,0.00,0,99,99,99,99,8 E 40TH ST,NEW YORK,NY,10016,"8 E 40TH ST
NEW YORK, NY 10016
(40.75193829700004, -73.98127458599998)"
2013-2014,73313207,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,0.00,0,98.7,98.7,98.7,98.7,1 GUSTAVE L. LEVY PLACE,NEW YORK,NY,10029,"1 GUSTAVE L. LEVY PLACE
NEW YORK, NY 10029
(40.789277740000045, -73.95472707699997)"
2014-2015,73352270,WAGNER COLLEGE,0.00,0,99.9,99.9,99.9,99.9,631 HOWARD AVE,STATEN ISLAND,NY,10301,"631 HOWARD AVE
STATEN ISLAND, NY 10301
(40.61658799800006, -74.09430605499995)"
2013-2014,73312184,RELAY GRADUATE SCHOOL OF EDUCATION,0.00,0.5,97.7,97.7,97.7,97.7,"40 WEST 20 STREET, 6TH FL",NEW YORK,NY,10011,"40 WEST 20 STREET, 6TH FL
NEW YORK, NY 10011
(40.74061412300006, -73.99325217199998)"
2014-2015,73312174,RABBI ISAAC ELCHANAN - THEOLOGICAL SEM.,0.00,0,100,100,100,100,500 W 185TH ST,NEW YORK,NY,10033,"500 W 185TH ST
NEW YORK, NY 10033
(40.85054369000005, -73.92931856599995)"
2012-2013,61281280,ISLAND DRAFTING AND TECHNICAL INSTITUTE,0.00,0,100,100,100,100,128 BROADWAY (ROUTE 110),AMITYVILLE,NY,11701,"128 BROADWAY (ROUTE 110)
AMITYVILLE, NY 11701
(40.675702054000055, -73.41654492099997)"
2013-2014,11631040,ADIRONDACK COMMUNITY COLLEGE,0.12,0.1,98,98,98,98,640 BAY ROAD,QUEENSBURY,NY,12804,"640 BAY ROAD
QUEENSBURY, NY 12804
(43.35083621700005, -73.65605394199997)"
2014-2015,11012012,SUNY ALBANY,0.05,0,94.6,94.9,94.9,94.6,1400 WASHINGTON AVE,ALBANY,NY,12222,"1400 WASHINGTON AVE
ALBANY, NY 12222
(42.68976240500007, -73.82054267599995)"
2013-2014,73313211,NEW YORK COLLEGE OF PODIATRIC MEDICINE,0.00,0,100,100,100,100,53 EAST 124TH ST,NEW YORK,NY,10035,"53 EAST 124TH ST
NEW YORK, NY 10035
(40.80496850900005, -73.94084439399995)"
2014-2015,43141131,VILLA MARIA COLLEGE OF BUFFALO,0.00,0,96.5,96.5,96.5,96.5,240 PINE RIDGE RD,BUFFALO,NY,14225,"240 PINE RIDGE RD
BUFFALO, NY 14225
(42.91241604500004, -78.79607047399998)"
2014-2015,33262098,ROCHESTER INSTITUTE OF TECHNOLOGY,0.12,0.3,99.4,99.4,99.4,99.4,1 LOMB MEMORIAL DR,ROCHESTER,NY,14623,"1 LOMB MEMORIAL DR
ROCHESTER, NY 14623
(43.08484974500004, -77.67439186899998)"
2012-2013,73342329,BEIS MEDRASH HEICHAL DOVID,0.00,0,100,100,100,100,257 BEACH 17TH ST.,FAR ROCKAWAY,NY,11691,"257 BEACH 17TH ST.
FAR ROCKAWAY, NY 11691
(40.596646640000074, -73.75119227799996)"
2012-2013,13013003,ALBANY LAW SCHOOL,0.00,0.2,99.2,99.7,99.7,99.2,80 NEW SCOTLAND AVE,ALBANY,NY,12208,"80 NEW SCOTLAND AVE
ALBANY, NY 12208
(42.65248221100006, -73.77739299599995)"
2015-2016,53501111,SALVATION ARMY SCHOOL FOR OFFICER TRAINING,0.00,0,95.2,100,100,95.2,201 LAFAYETTE AVE,SUFFERN,NY,10901,"201 LAFAYETTE AVE
SUFFERN, NY 10901
(41.11353363100005, -74.14017119399995)"
2014-2015,14011335,MILDRED ELLEY,0.00,0,100,100,100,100,855 CENTRAL AVE #1,ALBANY,NY,12206,"855 CENTRAL AVE #1
ALBANY, NY 12206
(42.680052911000075, -73.78995977999995)"
2014-2015,14011336,ITT TECHNICAL INSTITUTE - Albany,0.00,1.5,98.5,98.5,98.5,98.5,13 AIRLINE DRIVE,ALBANY,NY,12205,"13 AIRLINE DRIVE
ALBANY, NY 12205
(42.736242127000025, -73.81950372899996)"
2013-2014,23412056,PRATT AT MUNSON-WILLIAMS-PROCTOR INST.,0.00,0,97.4,97.4,97.4,97.4,310 GENESEE ST.,UTICA,NY,13502,"310 GENESEE ST.
UTICA, NY 13502
(43.09723589300006, -75.23985342599997)"
2012-2013,23422065,LE MOYNE COLLEGE,0.00,0,100,100,100,100,1419 SALT SPRINGS RD,SYRACUSE,NY,13214,"1419 SALT SPRINGS RD
SYRACUSE, NY 13214
(43.04670417800003, -76.08722441399993)"
2013-2014,73322236,FORDHAM UNIVERSITY,0.03,0.2,99.5,99.6,99.6,99.5,441 E FORDHAM RD,BRONX,NY,10458,"441 E FORDHAM RD
BRONX, NY 10458
(40.86067206600006, -73.88938282899994)"
2013-2014,71322241,SUNY MARITIME COLLEGE,0.06,0,96.9,97,96.7,96.7,6 PENNYFIELD AVE,BRONX,NY,10465,"6 PENNYFIELD AVE
BRONX, NY 10465
(40.809135698000034, -73.80123072799995)"
2012-2013,33263099,ST BERNARD'S SCHOOL OF THEOLOGY & MINISTISTRY,0.00,0,91.3,91.3,91.3,91.3,120 FRENCH RD,ROCHESTER,NY,14618,"120 FRENCH RD
ROCHESTER, NY 14618
(43.101594989000034, -77.52677511299999)"
2015-2016,34261091,BRYANT & STRATTON COLLEGE - HENRIETTA,0.00,0,100,100,100,100,1225 JEFFERSON RD,ROCHESTER,NY,14623,"1225 JEFFERSON RD
ROCHESTER, NY 14623
(43.08710807500006, -77.59957175399995)"
2014-2015,43142122,D'YOUVILLE COLLEGE,0.20,0.2,96.7,96.7,96.7,96.7,320 PORTER AVE,BUFFALO,NY,14201,"320 PORTER AVE
BUFFALO, NY 14201
(42.902193983000075, -78.89056931099998)"
2015-2016,53662143,COLLEGE OF NEW ROCHELLE - NYC CAMPUSES,0.27,0.1,99.4,99.7,99.7,99.4,29 CASTLE PL,NEW ROCHELLE,NY,10805,"29 CASTLE PL
NEW ROCHELLE, NY 10805
(40.90081165000004, -73.78110036199996)"
2014-2015,74311260,ART INSTITUTE OF NEW YORK CITY,0.00,0,98.7,98.7,98.7,98.7,218-232 W. 40TH ST,NEW YORK,NY,10018,"218-232 W. 40TH ST
NEW YORK, NY 10018
(40.75496732500005, -73.98845010499997)"
2015-2016,53662144,COLLEGE OF NEW ROCHELLE - MAIN CAMPUS,0.31,0.3,99.2,99.4,99.4,99.2,29 CASTLE PL,NEW ROCHELLE,NY,10805,"29 CASTLE PL
NEW ROCHELLE, NY 10805
(40.90081165000004, -73.78110036199996)"
2015-2016,23422065,LE MOYNE COLLEGE,0.10,0.2,96.1,96.1,96.1,96.1,1419 SALT SPRINGS RD,SYRACUSE,NY,13214,"1419 SALT SPRINGS RD
SYRACUSE, NY 13214
(43.04670417800003, -76.08722441399993)"
2013-2014,23421069,ST JOSEPH'S HOSPITAL HEALTH CENTER,0.00,0,100,100,100,100,206 PROSPECT AVE,SYRACUSE,NY,13203,"206 PROSPECT AVE
SYRACUSE, NY 13203
(43.055129822000026, -76.14876459399994)"
2014-2015,74341265,PLAZA COLLEGE,0.00,0,100,100,100,100,74-09 37TH AVE,JACKSON HEIGHTS,NY,11372,"74-09 37TH AVE
JACKSON HEIGHTS, NY 11372
(40.74903743600004, -73.89128312299994)"
2014-2015,11491028,HUDSON VALLEY COMMUNITY COLLEGE,0.02,0.1,99.8,99.8,99.8,99.8,80 VANDENBURGH AVE,TROY,NY,12180,"80 VANDENBURGH AVE
TROY, NY 12180
(42.69578178900008, -73.68777743899994)"
2014-2015,73313211,NEW YORK COLLEGE OF PODIATRIC MEDICINE,0.00,0,100,100,100,100,53 EAST 124TH ST,NEW YORK,NY,10035,"53 EAST 124TH ST
NEW YORK, NY 10035
(40.80496850900005, -73.94084439399995)"
2014-2015,73313224,TEACHERS COLLEGE,0.06,0,69.2,69.2,69.3,69.2,525 W 120TH ST,NEW YORK,NY,10027,"525 W 120TH ST
NEW YORK, NY 10027
(40.81000848100007, -73.96072605099994)"
2015-2016,72341273,TRI-STATE COLLEGE OF ACUPUNCTURE,0.00,0,98.2,98.2,98.2,98.2,80 8TH AVENUE-4TH FL,NEW YORK,NY,10011,"80 8TH AVENUE-4TH FL
NEW YORK, NY 10011
(40.73998123900003, -74.00231419599999)"
2014-2015,71322241,SUNY MARITIME COLLEGE,0.00,0.1,92.6,92.6,92.6,92.6,6 PENNYFIELD AVE,BRONX,NY,10465,"6 PENNYFIELD AVE
BRONX, NY 10465
(40.809135698000034, -73.80123072799995)"
2015-2016,73311171,AMERICAN ACADEMY MCALLISTER INSTITUTE,0.00,0,100,100,100,100,619 W 54TH ST 6TH FLOOR,NEW YORK,NY,10019,"619 W 54TH ST 6TH FLOOR
NEW YORK, NY 10019
(40.76884684700008, -73.99391069799998)"
2014-2015,73313184,WEILL CORNELL MEDICAL COLLEGE,0.00,0,99.5,99.6,99.7,99.5,"418 EAST 71ST ST, SUITE 21",NEW YORK,NY,10021,"418 EAST 71ST ST, SUITE 21
NEW YORK, NY 10021
(40.76663466400004, -73.95540146399998)"
2015-2016,63283285,WEBB INSTITUTE,0.00,0,100,100,100,100,298 CRESENT BEACH RD,GLEN COVE,NY,11542,"298 CRESENT BEACH RD
GLEN COVE, NY 11542
(40.88286206400005, -73.64361924999997)"
2014-2015,11541036,SUNY COLLEGE OF AG & TECH AT COBLESKILL,0.08,0.3,99.6,99.6,99.6,99.6,106 SUFFOLK CIRCLE,COBLESKILL,NY,12043,"106 SUFFOLK CIRCLE
COBLESKILL, NY 12043
(42.67182424300006, -74.49878727099997)"
2012-2013,13132023,VASSAR COLLEGE,0.21,0.8,99,99,99,99,124 RAYMOND AVE,POUGHKEEPSIE,NY,12604,"124 RAYMOND AVE
POUGHKEEPSIE, NY 12604
(41.686462221000056, -73.89816793099999)"
2012-2013,43142122,D'YOUVILLE COLLEGE,0.08,0.1,96.2,96.2,96.2,96.2,320 PORTER AVE,BUFFALO,NY,14201,"320 PORTER AVE
BUFFALO, NY 14201
(42.902193983000075, -78.89056931099998)"
2015-2016,73312173,BARNARD COLLEGE,0.04,0.5,99.5,99.5,99.5,99.5,3009 BROADWAY,NEW YORK,NY,10027,"3009 BROADWAY
NEW YORK, NY 10027
(40.80929578000007, -73.96312804099995)"
2014-2015,33263093,COLGATE ROCHESTER CROZER DIVINITY SCHOOL,0.00,0,85.7,85.7,85.7,11.9,1100 GOODMAN ST S,ROCHESTER,NY,14620,"1100 GOODMAN ST S
ROCHESTER, NY 14620
(43.132597575000034, -77.60008620999997)"
2013-2014,13013004,ALBANY MEDICAL COLLEGE,0.00,0,100,100,100,100,47 NEW SCOTLAND AVE,ALBANY,NY,12208,"47 NEW SCOTLAND AVE
ALBANY, NY 12208
(42.65314478600004, -73.77408072899993)"
2015-2016,73312182,COLUMBIA UNIVERSITY,0.08,0.2,99.7,99.7,99.7,99.7,519 W 114TH ST,NEW YORK,NY,10027,"519 W 114TH ST
NEW YORK, NY 10027
(40.80577787300007, -73.96253839599996)"
2012-2013,72341266,CUNY QUEENSBOROUGH COMMUNITY COLLEGE,0.02,0.1,99.9,99.9,99.9,99.9,SPRINGFIELD BOULEVARD & 56TH AVE,BAYSIDE,NY,11364,"SPRINGFIELD BOULEVARD & 56TH AVE
BAYSIDE, NY 11364
(40.74207990600007, -73.75942865599995)"
2012-2013,64581292,"BUSINESS INFORMATICS CENTER, INC.",0.00,0,100,100,100,100,134 SOUTH CENTRAL AVE,VALLEY STREAM,NY,11580,"134 SOUTH CENTRAL AVE
VALLEY STREAM, NY 11580
(40.663146925000035, -73.70868594799998)"
2013-2014,31262101,SUNY COLLEGE AT BROCKPORT,0.05,0.1,87.7,87.7,87.7,87.7,350 NEW CAMPUS DR,BROCKPORT,NY,14420,"350 NEW CAMPUS DR
BROCKPORT, NY 14420
(43.20918289100007, -77.95071201299999)"
2012-2013,34261092,BRYANT & STRATTON COLLEGE - GREECE CAMPUS,0.00,0,100,100,100,100,150 BELLWOOD DR,ROCHESTER,NY,14606,"150 BELLWOOD DR
ROCHESTER, NY 14606
(43.18506235500007, -77.68644973599999)"
2014-2015,44141336,ITT TECHNICAL INSTITUTE - GETSVILLE,0.00,0,88.3,88.3,88.3,88.3,2295 MILLERSPORT HWY,GETZVILLE,NY,14068,"2295 MILLERSPORT HWY
GETZVILLE, NY 14068
(43.01247128800003, -78.77014317599998)"
2013-2014,33432104,HOBART COLLEGE & WILLIAM SMITH COLLEGES,0.09,0.5,99.4,99.4,99.4,99.4,119 SAINT CLAIR ST,GENEVA,NY,14456,"119 SAINT CLAIR ST
GENEVA, NY 14456
(42.856172050000055, -76.98577631899997)"
2013-2014,31242089,SUNY COLLEGE AT GENESEO,0.02,0.2,99.6,99.6,99.6,99.6,1 COLLEGE CIRCLE,GENESEO,NY,14454,"1 COLLEGE CIRCLE
GENESEO, NY 14454
(42.79574317500004, -77.81936569999993)"
2012-2013,74311225,TECHNICAL CAREER INSTITUTES,0.00,0,100,100,100,100,320 W 31ST ST,NEW YORK,NY,10001,"320 W 31ST ST
NEW YORK, NY 10001
(40.75071463900008, -73.99593173399995)"
2012-2013,73312199,JEWISH THEOLOGICAL SEMINARY OF AMERICA,0.00,0,99.3,99.5,99.5,99.3,3080 BROADWAY,NEW YORK,NY,10027,"3080 BROADWAY
NEW YORK, NY 10027
(40.811930801000074, -73.96085499599997)"
2013-2014,53502150,FEI TIAN COLLEGE,0.00,65.4,33.7,34.6,34.6,33.7,140 GALLEY HILL RD,CUDDLEBACKVILLE,NY,12729,"140 GALLEY HILL RD
CUDDLEBACKVILLE, NY 12729
(41.45379371800004, -74.58878745399994)"
2012-2013,73313193,GENERAL THEOLOGICAL SEMINARY,0.00,0,74.1,74.1,74.1,74.1,440 W 21ST STREET,NEW YORK,NY,10011,"440 W 21ST STREET
NEW YORK, NY 10011
(40.74572498900005, -74.00358113199997)"
2013-2014,73332326,POLYTECHNIC INSTITUTE OF NYU,0.05,0.1,99.6,99.9,99.9,99.6,101 JOHNSON ST,BROOKLYN,NY,11201,"101 JOHNSON ST
BROOKLYN, NY 11201
(40.69495950900006, -73.98632833499994)"
2014-2015,72341272,SWEDISH INSTITUTE COLLEGE OF HEALTH SCIENCES,0.00,0,95.6,95.6,95.6,0,226 WEST 26TH ST,NEW YORK,NY,10001,"226 WEST 26TH ST
NEW YORK, NY 10001
(40.74650473100007, -73.99553195599998)"
2013-2014,72342263,CUNY YORK COLLEGE,0.00,0,100,100,100,100,94-20 GUY R BREWER BLVD,JAMAICA,NY,11451,"94-20 GUY R BREWER BLVD
JAMAICA, NY 11451
(40.702278172000035, -73.79542657299999)"
2013-2014,64281274,BRIARCLIFFE COLLEGE,0.07,0,99.4,99.9,99.9,99.1,1055 STEWART AVE,BETHPAGE,NY,11714,"1055 STEWART AVE
BETHPAGE, NY 11714
(40.76063449600008, -73.49069384499995)"
2012-2013,21251053,SUNY COLLEGE OF AG & TECH AT MORRISVILLE,0.04,0,99,99.1,99.2,99,80 EATON STREET,MORRISVILLE,NY,13408,"80 EATON STREET
MORRISVILLE, NY 13408
(42.89406238600003, -75.64507686599995)"
2014-2015,63582290,LONG ISLAND UNIVERSITY - RIVERHEAD CAMPUS,0.00,1.2,98.9,97.7,97.7,97.7,121 SPEONK-RIVERHEAD RD,RIVERHEAD,NY,11901,"121 SPEONK-RIVERHEAD RD
RIVERHEAD, NY 11901
(40.87638947800008, -72.69691642899994)"
2012-2013,73312230,YESHIVA UNIVERSITY,0.00,0,97,97,97,97,500 W 185TH ST,NEW YORK,NY,10033,"500 W 185TH ST
NEW YORK, NY 10033
(40.85054369000005, -73.92931856599995)"
2012-2013,61282283,SUNY COLLEGE AT OLD WESTBURY,0.02,0.1,98.5,98.5,98.5,98.5,223 STORE HILL RD,OLD WESTBURY,NY,11568,"223 STORE HILL RD
OLD WESTBURY, NY 11568
(40.780184613000074, -73.57835092999994)"
2012-2013,53502144,RABBINICAL COLLEGE BETH SHRAGA,0.00,0,96.6,96.6,96.6,96.6,28 SADDLE RIVER ROAD,MONSEY,NY,10952,"28 SADDLE RIVER ROAD
MONSEY, NY 10952
(41.113851529000044, -74.07201469399996)"
