DistrictType,DistrictTTL,SchoolTTL,HighestAchievement,YearAfterGrad,DemographicGrouping,DemographicValue,MedianEarnings,MedianHours,NumRecords
School Dist,Seattle Public Schools,The Center School,Bachelor's or Higher,8,Gender,Male,36300,1523,36
School Dist,Seattle Public Schools,The Center School,Bachelor's or Higher,9,Gender,Female,36300,1670.5,36
School Dist,Seattle Public Schools,The Center School,Bachelor's or Higher,9,Gender,Male,44000,1820.5,34
School Dist,Seattle Public Schools,The Center School,Bachelor's or Higher,10,Gender,Female,27600,1295.5,38
School Dist,Seattle Public Schools,The Center School,Bachelor's or Higher,10,Gender,Male,47300,1883.5,30
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,7,Gender,Female,41300,1894.5,174
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,7,Gender,Male,40100,1926.5,132
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,8,Gender,Female,44200,1893,162
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,8,Gender,Male,45900,1952,133
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,9,Gender,Female,46700,1874,163
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,9,Gender,Male,41400,1861.5,118
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,10,Gender,Female,48400,1872,128
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,10,Gender,Male,46900,1956,97
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,11,Gender,Female,52700,1906,89
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,11,Gender,Male,55200,1964,69
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,12,Gender,Female,54600,1920,55
School Dist,Seattle Public Schools,West Seattle High School,Bachelor's or Higher,12,Gender,Male,48600,1860,35
